"File","BAL Compressed","Diet Compressed","Compress Savings","Compress Savings %"
"22615532.ssz",23525,17213,6312,26.8
"22615542.ssz",103507,66711,36796,35.5
"22615552.ssz",38940,26623,12317,31.6
"22615562.ssz",31433,19772,11661,37.1
"22615572.ssz",28798,18497,10301,35.8
"22615582.ssz",98132,54387,43745,44.6
"22615592.ssz",57363,38405,18958,33.0
"22615602.ssz",62576,41847,20729,33.1
"22615612.ssz",73000,46219,26781,36.7
"22615622.ssz",48527,30771,17756,36.6
"22615632.ssz",47278,29956,17322,36.6
"22615642.ssz",31507,19970,11537,36.6
"22615652.ssz",71721,49504,22217,31.0
"22615662.ssz",51295,35203,16092,31.4
"22615672.ssz",60873,40411,20462,33.6
"22615682.ssz",39168,25876,13292,33.9
"22615692.ssz",70023,40307,29716,42.4
"22615702.ssz",22686,14143,8543,37.7
"22615712.ssz",30347,19727,10620,35.0
"22615722.ssz",87385,59914,27471,31.4
"22615732.ssz",36044,23573,12471,34.6
"22615742.ssz",48578,31355,17223,35.5
"22615752.ssz",83392,55592,27800,33.3
"22615762.ssz",24051,16095,7956,33.1
"22615772.ssz",77313,49861,27452,35.5
"22615782.ssz",56532,36309,20223,35.8
"22615792.ssz",64758,41633,23125,35.7
"22615802.ssz",66879,40969,25910,38.7
"22615812.ssz",75491,48092,27399,36.3
"22615822.ssz",80626,57185,23441,29.1
"22615832.ssz",58855,38564,20291,34.5
"22615842.ssz",57982,37449,20533,35.4
"22615852.ssz",51834,32123,19711,38.0
"22615862.ssz",53685,34904,18781,35.0
"22615872.ssz",80584,52502,28082,34.8
"22615882.ssz",72340,47267,25073,34.7
"22615892.ssz",68536,44205,24331,35.5
"22615902.ssz",40443,28037,12406,30.7
"22615912.ssz",56443,38992,17451,30.9
"22615922.ssz",20374,13688,6686,32.8
"22615932.ssz",26924,17936,8988,33.4
"22615942.ssz",16762,11268,5494,32.8
"22615952.ssz",50984,32763,18221,35.7
"22615962.ssz",39981,25659,14322,35.8
"22615972.ssz",75055,45322,29733,39.6
"22615982.ssz",53957,34605,19352,35.9
"22615992.ssz",36354,23666,12688,34.9
"22616002.ssz",76935,49173,27762,36.1
"22616012.ssz",27679,18296,9383,33.9
"22616022.ssz",56002,37967,18035,32.2
