"File","BAL Size","Diet BAL Size","Savings","Savings %"
"22615532.ssz",36280,22120,14160,39.0
"22615542.ssz",173759,99660,74099,42.6
"22615552.ssz",65240,38334,26906,41.2
"22615562.ssz",52837,28754,24083,45.6
"22615572.ssz",47718,25734,21984,46.1
"22615582.ssz",159072,76736,82336,51.8
"22615592.ssz",94686,56170,38516,40.7
"22615602.ssz",113324,67210,46114,40.7
"22615612.ssz",124042,70924,53118,42.8
"22615622.ssz",84305,46946,37359,44.3
"22615632.ssz",78644,42960,35684,45.4
"22615642.ssz",52648,28446,24202,46.0
"22615652.ssz",110001,66334,43667,39.7
"22615662.ssz",89806,57136,32670,36.4
"22615672.ssz",105221,63146,42075,40.0
"22615682.ssz",65640,38080,27560,42.0
"22615692.ssz",123593,62468,61125,49.5
"22615702.ssz",35190,17044,18146,51.6
"22615712.ssz",50168,28346,21822,43.5
"22615722.ssz",145462,89970,55492,38.1
"22615732.ssz",59286,33508,25778,43.5
"22615742.ssz",83276,47288,35988,43.2
"22615752.ssz",137889,80172,57717,41.9
"22615762.ssz",41231,24988,16243,39.4
"22615772.ssz",130428,74072,56356,43.2
"22615782.ssz",93089,52776,40313,43.3
"22615792.ssz",109088,61944,47144,43.2
"22615802.ssz",112458,61918,50540,44.9
"22615812.ssz",127766,71962,55804,43.7
"22615822.ssz",147970,100070,47900,32.4
"22615832.ssz",95280,54018,41262,43.3
"22615842.ssz",95710,54544,41166,43.0
"22615852.ssz",88102,49450,38652,43.9
"22615862.ssz",85538,47448,38090,44.5
"22615872.ssz",131291,73162,58129,44.3
"22615882.ssz",123256,68540,54716,44.4
"22615892.ssz",113570,65282,48288,42.5
"22615902.ssz",70677,45228,25449,36.0
"22615912.ssz",92522,55994,36528,39.5
"22615922.ssz",31310,17410,13900,44.4
"22615932.ssz",43650,25200,18450,42.3
"22615942.ssz",26899,15110,11789,43.8
"22615952.ssz",84670,48390,36280,42.8
"22615962.ssz",68786,38528,30258,44.0
"22615972.ssz",129668,71016,58652,45.2
"22615982.ssz",92932,52578,40354,43.4
"22615992.ssz",59802,34036,25766,43.1
"22616002.ssz",131520,75012,56508,43.0
"22616012.ssz",44771,25358,19413,43.4
"22616022.ssz",92104,54114,37990,41.2
